2144.74327  0.044174027
2145.22545  0.025499498
2145.70763  0.007284648
2146.18981  -0.002149006
2146.67199  -0.002827905
2147.15418  -0.011474758
2147.63636  -0.019767343
2148.11854  -0.036080417
2148.60072  -0.035396543
2149.0829   -0.042786041
2149.56508  -0.041579433
2150.04726  -0.023455203
2150.52945  -0.00513602
2151.01163  0.005004339
2151.49381  0.006939118
2151.97599  0.017337794
2152.45817  0.044521885
2152.94035  0.08011699
2153.42253  0.115748709
2153.90472  0.168086219
2154.3869   0.237103676
2154.86908  0.347818219
2155.35126  0.491855445
2155.83344  0.669188914
2156.31562  0.846400347
2156.79781  0.965027275
2157.27999  1
2157.76217  0.917899934
2158.24435  0.743744512
2158.72653  0.544290969
2159.20871  0.361252659
2159.69089  0.227994977
2160.17308  0.136143173
2160.65526  0.085671497
2161.13744  0.043161329
2161.61962  0.016934185
2162.1018   0.006963625
2162.58398  0.004875247
2163.06616  -0.006053308
2163.54835  -0.017500939
2164.03053  -0.021145307
2164.51271  -0.017013259
2164.99489  -0.013479196
2165.47707  -0.01056956
2165.95925  0.008385128
