Wavelength	Ellip23 RT	Ellip25 RT	Ellip38 RT	Ellip62 RT	Ellip23	Ellip25	Ellip38	Ellip62
248	-52057.36364	-34236.75926	-73237.14286	-64575.91304	-54933.72727	-54325.64815	-37564.34286	-70761.91304
247.5	-59881.81818	-45423.7963	-72593.6	-65846.86957	-53118.27273	-50258.88889	-32667.77143	-71484.69565
247	-66927.90909	-51138.05556	-79433.37143	-73197.13043	-53675.45455	-54640.37037	-28376.91429	-70248.78261
246.5	-73859.45455	-56826.48148	-87175.77143	-74539.65217	-59302.54545	-59716.75926	-26787.31429	-72300.69565
246	-85406.18182	-64329.16667	-96196.34286	-83780.86957	-63766.36364	-60617.03704	-26465.14286	-74211.04348
245.5	-100323.6364	-69362.03704	-110431.8857	-99254.78261	-67859.36364	-66396.38889	-33399.42857	-81443.47826
245	-113808.1818	-78774.62963	-125090.2857	-109768.6957	-76452.36364	-76922.87037	-37151.65714	-92780.86957
244.5	-130841.8182	-92646.2963	-142656	-129380.8696	-86854.72727	-87017.96296	-48626.74286	-96165.21739
244	-139161.8182	-111051.8519	-160254.8571	-140699.1304	-107672.7273	-104681.4815	-65228.91429	-109118.2609
243.5	-157084.5455	-128241.6667	-175888	-156253.0435	-122357.2727	-113227.7778	-82455.31429	-125524.3478
243	-164532.7273	-139562.037	-184342.8571	-164315.6522	-130927.2727	-119550.9259	-91883.77143	-140354.7826
242.5	-181032.7273	-151631.4815	-198324.5714	-176566.9565	-149006.3636	-132424.0741	-105795.8857	-148031.3043
242	-195788.1818	-167906.4815	-210908.5714	-193401.7391	-162471.8182	-138700.9259	-115338.2857	-151438.2609
241.5	-213369.0909	-190972.2222	-224309.7143	-209582.6087	-185965.4545	-159768.5185	-130881.1429	-165218.2609
241	-243101.8182	-217408.3333	-250620.5714	-235344.3478	-204224.5455	-172027.7778	-143816	-184868.6957
240.5	-269720.9091	-236626.8519	-270292.5714	-257803.4783	-219215.4545	-194742.5926	-162018.2857	-212092.1739
240	-301353.6364	-254662.037	-296645.7143	-286623.4783	-238210	-216514.8148	-181073.1429	-238020
239.5	-320114.5455	-268553.7037	-319793.1429	-313626.9565	-257079.0909	-232552.7778	-201656	-254320.8696
239	-348477.2727	-295043.5185	-353969.1429	-347190.4348	-275558.1818	-251706.4815	-212617.1429	-272673.913
238.5	-380408.1818	-332406.4815	-392302.8571	-379863.4783	-304734.5455	-270119.4444	-236896	-297456.5217
238	-421606.3636	-371625	-432947.4286	-421027.8261	-333313.6364	-293495.3704	-265403.4286	-335282.6087
237.5	-461906.3636	-413269.4444	-473532.5714	-461342.6087	-371928.1818	-321803.7037	-303918.8571	-368593.0435
237	-510001.8182	-457050.9259	-513582.8571	-511346.9565	-411220.9091	-354143.5185	-335985.1429	-403664.3478
236.5	-560059.0909	-498697.2222	-555521.1429	-562059.1304	-453454.5455	-388179.6296	-366160	-431557.3913
236	-609230.9091	-539346.2963	-596995.4286	-603430.4348	-496931.8182	-430321.2963	-404141.7143	-470459.1304
235.5	-665969.0909	-583037.963	-647817.1429	-658743.4783	-547704.5455	-472598.1481	-440616	-508716.5217
235	-716606.3636	-627359.2593	-698051.4286	-697327.8261	-597624.5455	-515507.4074	-483859.4286	-555723.4783
234.5	-774652.7273	-680559.2593	-750347.4286	-752361.7391	-657078.1818	-556685.1852	-520246.8571	-598079.1304
234	-829667.2727	-727852.7778	-804421.7143	-803617.3913	-704669.0909	-592761.1111	-565214.8571	-643116.5217
233.5	-892990	-784348.1481	-871856	-860993.913	-760796.3636	-629156.4815	-620273.1429	-692334.7826
233	-953863.6364	-840456.4815	-938758.8571	-920817.3913	-817247.2727	-683188.8889	-682029.7143	-748735.6522
232.5	-1010309.091	-897468.5185	-990882.2857	-966026.087	-881598.1818	-740551.8519	-745539.4286	-815593.913
232	-1061363.636	-947601.8519	-1027236.571	-1009991.304	-938645.4545	-798700.9259	-800948.5714	-878634.7826
231.5	-1108309.091	-990712.963	-1062296	-1057539.13	-993818.1818	-846197.2222	-849323.4286	-926260.8696
231	-1155572.727	-1038092.593	-1107986.286	-1101460.87	-1043881.818	-892269.4444	-894726.8571	-976347.8261
230.5	-1195890.909	-1081120.37	-1154525.714	-1144747.826	-1091781.818	-937851.8519	-939777.1429	-1023843.478
230	-1234772.727	-1121379.63	-1197005.714	-1178930.435	-1134881.818	-972185.1852	-974546.2857	-1066860.87
229.5	-1270272.727	-1151074.074	-1235794.286	-1205530.435	-1181281.818	-1010555.556	-1020914.286	-1103973.913
229	-1306927.273	-1180935.185	-1271542.857	-1232626.087	-1229363.636	-1045944.444	-1056248	-1137913.043
228.5	-1334854.545	-1216759.259	-1303954.286	-1256869.565	-1273690.909	-1091453.704	-1099329.143	-1175365.217
228	-1363109.091	-1236055.556	-1329577.143	-1277582.609	-1312509.091	-1128666.667	-1123601.143	-1203365.217
227.5	-1377754.545	-1255842.593	-1346777.143	-1293930.435	-1342918.182	-1163750	-1162560	-1237982.609
227	-1395118.182	-1273148.148	-1371988.571	-1302104.348	-1372027.273	-1191481.481	-1187782.857	-1264626.087
226.5	-1415500	-1289657.407	-1388971.429	-1311226.087	-1403990.909	-1214287.037	-1223611.429	-1290347.826
226	-1422790.909	-1299768.519	-1398274.286	-1311460.87	-1428327.273	-1228092.593	-1241634.286	-1315800
225.5	-1427200	-1308212.963	-1412960	-1310626.087	-1448900	-1241370.37	-1251017.143	-1332243.478
225	-1433281.818	-1307564.815	-1421234.286	-1310000	-1448081.818	-1256064.815	-1259462.857	-1344982.609
224.5	-1436700	-1307768.519	-1430571.429	-1308165.217	-1451172.727	-1275657.407	-1272857.143	-1345704.348
224	-1445209.091	-1320046.296	-1437611.429	-1314921.739	-1451781.818	-1284518.519	-1282125.714	-1342460.87
223.5	-1437790.909	-1313944.444	-1433074.286	-1315104.348	-1470927.273	-1304796.296	-1296057.143	-1347913.043
223	-1428109.091	-1314314.815	-1433920	-1308704.348	-1483918.182	-1308500	-1311817.143	-1351556.522
222.5	-1420990.909	-1295268.519	-1429005.714	-1301791.304	-1501290.909	-1320537.037	-1328182.857	-1363739.13
222	-1411763.636	-1284611.111	-1424285.714	-1289373.913	-1498209.091	-1317611.111	-1325508.571	-1359947.826
221.5	-1407072.727	-1278305.556	-1429565.714	-1285313.043	-1485563.636	-1317962.963	-1317417.143	-1353956.522
221	-1385154.545	-1271611.111	-1418480	-1276869.565	-1473109.091	-1322287.037	-1308080	-1348678.261
220.5	-1375818.182	-1265870.37	-1419702.857	-1256373.913	-1463563.636	-1328638.889	-1301440	-1338304.348
220	-1363600	-1254583.333	-1402800	-1238278.261	-1456236.364	-1322675.926	-1299577.143	-1325460.87
219.5	-1359100	-1239777.778	-1399965.714	-1222095.652	-1444727.273	-1306935.185	-1289348.571	-1315704.348
219	-1349536.364	-1227101.852	-1398731.429	-1219556.522	-1433354.545	-1294129.63	-1280662.857	-1299973.913
218.5	-1340090.909	-1221129.63	-1406925.714	-1218208.696	-1425127.273	-1288157.407	-1272937.143	-1300765.217
218	-1329900	-1223509.259	-1418628.571	-1214095.652	-1414045.455	-1284787.037	-1273371.429	-1293573.913
217.5	-1317572.727	-1217962.963	-1429360	-1193443.478	-1399609.091	-1291592.593	-1270285.714	-1281782.609
217	-1307818.182	-1219055.556	-1423417.143	-1183052.174	-1388163.636	-1287722.222	-1269337.143	-1273669.565
216.5	-1295490.909	-1219361.111	-1410811.429	-1171921.739	-1365127.273	-1278379.63	-1246754.286	-1253208.696
216	-1295072.727	-1227064.815	-1405954.286	-1169052.174	-1351645.455	-1258861.111	-1236011.429	-1233791.304
215.5	-1291354.545	-1219250	-1403268.571	-1165921.739	-1346309.091	-1252648.148	-1225691.429	-1219069.565
215	-1276845.455	-1218629.63	-1400502.857	-1160260.87	-1324945.455	-1258833.333	-1224034.286	-1203852.174
214.5	-1272963.636	-1226592.593	-1426560	-1180547.826	-1323627.273	-1276370.37	-1231485.714	-1212391.304
214	-1274836.364	-1246250	-1445794.286	-1193226.087	-1316163.636	-1281731.481	-1223028.571	-1210017.391
213.5	-1287418.182	-1275833.333	-1478320	-1210460.87	-1325972.727	-1297212.963	-1228697.143	-1203765.217
213	-1297372.727	-1290296.296	-1488114.286	-1217956.522	-1336381.818	-1304361.111	-1230102.857	-1196104.348
212.5	-1306245.455	-1315518.519	-1492548.571	-1221321.739	-1338145.455	-1319861.111	-1242137.143	-1216043.478
212	-1325336.364	-1344388.889	-1518194.286	-1226478.261	-1345372.727	-1341120.37	-1261440	-1245591.304
211.5	-1336581.818	-1375037.037	-1533497.143	-1224200	-1356100	-1379925.926	-1268857.143	-1254834.783
211	-1344036.364	-1420129.63	-1539051.429	-1216304.348	-1368690.909	-1424074.074	-1270582.857	-1249295.652
210.5	-1335172.727	-1442453.704	-1541474.286	-1213730.435	-1392772.727	-1473796.296	-1274948.571	-1253269.565
210	-1330036.364	-1473601.852	-1534045.714	-1196486.957	-1404563.636	-1511990.741	-1291291.429	-1260582.609
209.5	-1330909.091	-1485407.407	-1542445.714	-1178686.957	-1425536.364	-1545351.852	-1311897.143	-1291991.304
209	-1314663.636	-1510277.778	-1532811.429	-1147417.391	-1435863.636	-1569675.926	-1340685.714	-1289808.696
208.5	-1287672.727	-1512212.963	-1488697.143	-1102530.435	-1438445.455	-1594648.148	-1335771.429	-1271408.696
208	-1222718.182	-1495694.444	-1434685.714	-1056078.261	-1417372.727	-1616185.185	-1316320	-1246078.261
